parameter,group,GPT-5,Sonnet-4,GPT-4o,different
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/chemotaxis/enabled,Global simulation,false,false,false,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/chemotaxis/substrate,Global simulation,TNF,TNF,TNF,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/enabled,Global simulation,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/options/use_2D,Global simulation,true,true,true,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/persistence_time,Motility,5,5,5,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/persistence_time/@units,Motility,min,min,min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/speed,Motility,0.5,0.5,0.5,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/motility/speed/@units,Motility,micron/min,micron/min,micron/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/net_export_rate,Secretion / uptake,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/net_export_rate/@units,Secretion / uptake,total substrate/min,total substrate/min,total substrate/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/secretion_rate,Secretion / uptake,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/secretion_rate/@units,Secretion / uptake,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/secretion_target,Secretion / uptake,1,1,1,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/secretion_target/@units,Secretion / uptake,substrate density,substrate density,substrate density,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/uptake_rate,Secretion / uptake,0.02,0,0,True
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/secretion/substrate[@name=TNF]/uptake_rate/@units,Secretion / uptake,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/calcification_rate,Volume,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/calcification_rate/@units,Volume,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/calcified_fraction,Volume,0,0,0,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/calcified_fraction/@units,Volume,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/cytoplasmic_biomass_change_rate,Volume,0.0045,0.0045,0.0045,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/cytoplasmic_biomass_change_rate/@units,Volume,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/fluid_change_rate,Volume,0.05,0.05,0.05,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/fluid_change_rate/@units,Volume,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/fluid_fraction,Volume,0.75,0.75,0.75,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/fluid_fraction/@units,Volume,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/nuclear,Volume,500,500,500,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/nuclear/@units,Volume,micron^3,micron^3,micron^3,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/nuclear_biomass_change_rate,Volume,0.0055,0.0055,0.0055,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/nuclear_biomass_change_rate/@units,Volume,1/min,1/min,1/min,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/relative_rupture_volume,Volume,2,2,2,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/relative_rupture_volume/@units,Volume,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/total,Volume,2500,2500,2500,False
PhysiCell_settings/cell_definitions/cell_definition[@name=cancer_cell|@ID=0]/phenotype/volume/total/@units,Volume,micron^3,micron^3,micron^3,False
PhysiCell_settings/cell_rules/rulesets/ruleset[@enabled=false]/@enabled,Other,false,false,false,False
PhysiCell_settings/cell_rules/rulesets/ruleset[@enabled=false]/@format,Other,csv,csv,csv,False
PhysiCell_settings/cell_rules/rulesets/ruleset[@enabled=false]/@protocol,Other,CBHG,CBHG,CBHG,False
PhysiCell_settings/cell_rules/rulesets/ruleset[@enabled=false]/@version,Other,3,3,3,False
PhysiCell_settings/cell_rules/rulesets/ruleset[@enabled=false]/filename,Other,cell_rules.csv,cell_rules.csv,cell_rules.csv,False
PhysiCell_settings/cell_rules/settings,Other,empty,empty,empty,False
PhysiCell_settings/domain/dx,Domain,20,20,20,False
PhysiCell_settings/domain/dy,Domain,20,20,20,False
PhysiCell_settings/domain/dz,Domain,20,20,20,False
PhysiCell_settings/domain/use_2D,Domain,true,true,true,False
PhysiCell_settings/domain/x_max,Domain,1000,1000,1000,False
PhysiCell_settings/domain/x_min,Domain,-1000,-1000,-1000,False
PhysiCell_settings/domain/y_max,Domain,1000,1000,1000,False
PhysiCell_settings/domain/y_min,Domain,-1000,-1000,-1000,False
PhysiCell_settings/domain/z_max,Domain,10,10,10,False
PhysiCell_settings/domain/z_min,Domain,-10,-10,-10,False
PhysiCell_settings/initial_conditions/cell_positions[@type=csv]/@enabled,Initial conditions,true,true,true,False
PhysiCell_settings/initial_conditions/cell_positions[@type=csv]/filename,Initial conditions,cells.csv,cells.csv,cells.csv,False
PhysiCell_settings/microenvironment_setup/options/calculate_gradients,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/options/dirichlet_nodes[@type=matlab]/@enabled,Microenvironment,false,false,false,False
PhysiCell_settings/microenvironment_setup/options/dirichlet_nodes[@type=matlab]/filename,Microenvironment,./config/dirichlet.mat,./config/dirichlet.mat,./config/dirichlet.mat,False
PhysiCell_settings/microenvironment_setup/options/initial_condition[@type=matlab]/@enabled,Microenvironment,false,false,false,False
PhysiCell_settings/microenvironment_setup/options/initial_condition[@type=matlab]/filename,Microenvironment,./config/initial.mat,./config/initial.mat,./config/initial.mat,False
PhysiCell_settings/microenvironment_setup/options/track_internalized_substrates_in_each_agent,Microenvironment,false,false,false,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/@units,Microenvironment,dimensionless,dimensionless,dimensionless,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_boundary_condition[@enabled=True],Microenvironment,10,1,1,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_boundary_condition[@enabled=True]/@enabled,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_boundary_condition[@enabled=True]/@units,Microenvironment,mmHg,mmHg,mmHg,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=xmax],Microenvironment,10,1,1,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=xmax]/@enabled,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=xmin],Microenvironment,10,1,1,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=xmin]/@enabled,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=ymax],Microenvironment,10,1,1,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=ymax]/@enabled,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=ymin],Microenvironment,10,1,1,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=ymin]/@enabled,Microenvironment,true,true,true,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=zmax],Microenvironment,empty,empty,empty,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=zmax]/@enabled,Microenvironment,false,false,false,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=zmin],Microenvironment,empty,empty,empty,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/Dirichlet_options/boundary_value[@ID=zmin]/@enabled,Microenvironment,false,false,false,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/initial_condition,Microenvironment,0,0.1,0,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/initial_condition/@units,Microenvironment,mmHg,mmHg,mmHg,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/physical_parameter_set/decay_rate,Microenvironment,0.01,0.01,0.01,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/physical_parameter_set/decay_rate/@units,Microenvironment,1/min,1/min,1/min,False
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/physical_parameter_set/diffusion_coefficient,Microenvironment,50000,30000,30000,True
PhysiCell_settings/microenvironment_setup/variable[@name=TNF|@ID=0]/physical_parameter_set/diffusion_coefficient/@units,Microenvironment,micron^2/min,micron^2/min,micron^2/min,False
PhysiCell_settings/options/disable_automated_spring_adhesions,Global simulation,false,false,false,False
PhysiCell_settings/options/legacy_random_points_on_sphere_in_divide,Global simulation,false,false,false,False
PhysiCell_settings/options/random_seed,Global simulation,system_clock,system_clock,system_clock,False
PhysiCell_settings/options/virtual_wall_at_domain_edge,Domain,true,true,true,False
PhysiCell_settings/overall/dt_diffusion,Global simulation,0.01,0.01,0.01,False
PhysiCell_settings/overall/dt_diffusion/@units,Global simulation,min,min,min,False
PhysiCell_settings/overall/dt_mechanics,Global simulation,0.1,0.1,0.1,False
PhysiCell_settings/overall/dt_mechanics/@units,Global simulation,min,min,min,False
PhysiCell_settings/overall/dt_phenotype,Global simulation,6,6,6,False
PhysiCell_settings/overall/dt_phenotype/@units,Global simulation,min,min,min,False
PhysiCell_settings/overall/max_time,Global simulation,7200,7200,7200,False
PhysiCell_settings/overall/max_time/@units,Global simulation,min,min,min,False
PhysiCell_settings/overall/space_units,Global simulation,micron,micron,micron,False
PhysiCell_settings/overall/time_units,Global simulation,min,min,min,False
PhysiCell_settings/parallel/omp_num_threads,Global simulation,4,4,4,False
PhysiCell_settings/save/SVG/enable,Global simulation,true,true,true,False
PhysiCell_settings/save/SVG/interval,Global simulation,60,60,60,False
PhysiCell_settings/save/SVG/interval/@units,Global simulation,min,min,min,False
PhysiCell_settings/save/SVG/plot_substrate[@enabled=false]/@enabled,Global simulation,false,false,false,False
PhysiCell_settings/save/SVG/plot_substrate[@enabled=false]/@limits,Global simulation,false,false,false,False
PhysiCell_settings/save/SVG/plot_substrate[@enabled=false]/max_conc,Global simulation,empty,empty,empty,False
PhysiCell_settings/save/SVG/plot_substrate[@enabled=false]/min_conc,Global simulation,empty,empty,empty,False
PhysiCell_settings/save/SVG/plot_substrate[@enabled=false]/substrate,Global simulation,TNF,TNF,TNF,False
PhysiCell_settings/save/full_data/enable,Global simulation,true,true,true,False
PhysiCell_settings/save/full_data/interval,Global simulation,60,60,60,False
PhysiCell_settings/save/full_data/interval/@units,Global simulation,min,min,min,False
PhysiCell_settings/save/legacy_data/enable,Global simulation,false,false,false,False
PhysiCell_settings/user_parameters/number_of_cells[@type=int],Other,5,5,5,False
PhysiCell_settings/user_parameters/number_of_cells[@type=int]/@description,Other,initial number of cells (for each cell type),initial number of cells (for each cell type),initial number of cells (for each cell type),False
PhysiCell_settings/user_parameters/number_of_cells[@type=int]/@units,Other,none,none,none,False
